flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
kl1053,klm,landed,2023-06-15t16:55:00.000,2023-06-15t16:57:00.000,2023-06-15 16:57:00,2023-06-15,16:57:00,3,Regular departures
fr8265,ryanair,landed,2023-06-15t17:05:00.000,2023-06-15t17:26:00.000,2023-06-15 17:26:00,2023-06-15,17:26:00,21,Regular departures
tp7606,tap air portugal,landed,2023-06-15t17:05:00.000,2023-06-15t17:19:00.000,2023-06-15 17:18:00,2023-06-15,17:18:00,13,Regular departures
lh972,lufthansa,landed,2023-06-15t17:05:00.000,2023-06-15t17:19:00.000,2023-06-15 17:18:00,2023-06-15,17:18:00,13,Regular departures
u22738,easyjet,landed,2023-06-15t17:40:00.000,2023-06-15t18:00:00.000,2023-06-15 18:04:00,2023-06-15,18:04:00,25,Regular departures
fr4441,ryanair,landed,2023-06-15t17:50:00.000,2023-06-15t17:38:00.000,2023-06-15 17:39:00,2023-06-15,17:39:00,0,Regular departures
u2246,easyjet,landed,2023-06-15t17:50:00.000,2023-06-15t18:27:00.000,2023-06-15 18:28:00,2023-06-15,18:28:00,38,Regular departures
si474,blue islands,landed,2023-06-15t10:24:00.000,2023-06-15t09:59:00.000,2023-06-15 09:56:00,2023-06-15,09:56:00,0,Regular departures
,centreline,landed,2023-06-15t12:19:00.000,2023-06-15t12:51:00.000,2023-06-15 12:42:00,2023-06-15,12:42:00,23,Regular departures
fr508,ryanair,landed,2023-06-15t18:35:00.000,2023-06-15t18:46:00.000,2023-06-15 18:41:00,2023-06-15,18:41:00,6,Regular departures
u2218,easyjet,landed,2023-06-15t18:45:00.000,2023-06-15t18:57:00.000,2023-06-15 18:55:00,2023-06-15,18:55:00,10,Regular departures
u22924,easyjet,landed,2023-06-15t18:50:00.000,2023-06-15t19:16:00.000,2023-06-15 19:16:00,2023-06-15,19:16:00,27,Regular departures
ei3842,aer lingus,landed,2023-06-15t19:10:00.000,2023-06-15t19:13:00.000,2023-06-15 19:13:00,2023-06-15,19:13:00,3,Regular departures
u27354,easyjet,landed,2023-06-15t19:20:00.000,2023-06-15t19:09:00.000,2023-06-15 19:09:00,2023-06-15,19:09:00,0,Regular departures
fr3160,ryanair,landed,2023-06-15t20:05:00.000,2023-06-15t20:05:00.000,2023-06-15 20:05:00,2023-06-15,20:05:00,0,Regular departures
u2319,easyjet,landed,2023-06-15t20:15:00.000,2023-06-15t20:12:00.000,2023-06-15 20:12:00,2023-06-15,20:12:00,0,Regular departures
fr9335,ryanair,landed,2023-06-15t20:25:00.000,2023-06-15t20:24:00.000,2023-06-15 20:19:00,2023-06-15,20:19:00,0,Regular departures
fr3559,ryanair,landed,2023-06-15t20:40:00.000,2023-06-15t20:41:00.000,2023-06-15 20:41:00,2023-06-15,20:41:00,1,Regular departures
fr4758,ryanair,landed,2023-06-15t21:35:00.000,2023-06-15t21:26:00.000,2023-06-15 21:26:00,2023-06-15,21:26:00,0,Regular departures
u22734,easyjet,landed,2023-06-15t21:55:00.000,2023-06-15t22:18:00.000,2023-06-15 22:20:00,2023-06-15,22:20:00,25,Regular departures
u22802,easyjet,landed,2023-06-15t22:05:00.000,2023-06-15t22:15:00.000,2023-06-15 22:17:00,2023-06-15,22:17:00,13,Regular departures
u22876,easyjet,landed,2023-06-15t22:55:00.000,2023-06-15t23:30:00.000,2023-06-15 23:27:00,2023-06-15,23:27:00,32,Shoulder hour flights
ey5816,etihad airways,landed,2023-06-15t23:00:00.000,2023-06-15t22:56:00.000,2023-06-15 22:56:00,2023-06-15,22:56:00,0,Regular departures
kq1057,kenya airways,landed,2023-06-15t23:00:00.000,2023-06-15t22:56:00.000,2023-06-15 22:56:00,2023-06-15,22:56:00,0,Regular departures
vs7014,virgin atlantic,landed,2023-06-15t23:00:00.000,2023-06-15t22:56:00.000,2023-06-15 22:56:00,2023-06-15,22:56:00,0,Regular departures
