flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
FR8681,RYR992R,SP-RZO,B38M,EGGD/BRS,EYKA/KUN,0,16,2024-11-05 07:44:41 UTC,Day flight,RYS
EI3280,EAI8BR,EI-HDI,AT76,EIDW/DUB,EGGD/BRS,3150,182,2024-11-05 07:44:57 UTC,Day flight,EAI
U27848,EJU57WJ,OE-LSU,A20N,EGGD/BRS,EHAM/AMS,2850,202,2024-11-05 07:59:59 UTC,Day flight,EJU
U22937,EZY51FL,G-UZHJ,A20N,EGGD/BRS,EPKK/KRK,9000,292,2024-11-05 07:59:59 UTC,Day flight,EZY
LS1863,EXS3KC,G-JZHX,B738,EGGD/BRS,GCLP/LPA,0,3,2024-11-05 08:14:57 UTC,Day flight,EXS
EC9046,EJU9046,OE-LSR,A20N,EGGD/BRS,LPPT/LIS,0,0,2024-11-05 08:14:58 UTC,Day flight,EJU
KL1075,KLM49G,D-ACJJ,E190,EHAM/AMS,EGGD/BRS,1400,141,2024-11-05 08:14:58 UTC,Day flight,GER
EC9046,EJU9046,OE-LSR,A20N,EGGD/BRS,LPPT/LIS,18225,322,2024-11-05 08:29:58 UTC,Day flight,EJU
EI3281,EAI81A,EI-HDI,AT76,EGGD/BRS,EIDW/DUB,0,13,2024-11-05 08:29:54 UTC,Day flight,EAI
LS1863,EXS3KC,G-JZHX,B738,EGGD/BRS,GCLP/LPA,4400,214,2024-11-05 08:30:00 UTC,Day flight,EXS
U22963,EZY12YH,G-UZHI,A20N,EGGD/BRS,GMMX/RAK,0,0,2024-11-05 08:44:54 UTC,Day flight,EZY
,EZY48RN,G-UZHA,A20N,EGGD/BRS,None/None,0,0,2024-11-05 08:44:55 UTC,Day flight,EZY
EI3281,EAI81A,EI-HDI,AT76,EGGD/BRS,EIDW/DUB,13125,203,2024-11-05 08:44:58 UTC,Day flight,EAI
KL1076,KLM80X,D-ACJJ,E190,EGGD/BRS,EHAM/AMS,0,0,2024-11-05 08:59:59 UTC,Day flight,GER
U22903,EZY16AM,G-UZHA,A20N,EGGD/BRS,LCLK/LCA,0,0,2024-11-05 08:59:56 UTC,Day flight,EZY
FR4754,RYR9ND,EI-IFY,B38M,GCTS/TFS,EGGD/BRS,22475,392,2024-11-05 09:14:58 UTC,Day flight,RYR
U22903,EZY16AM,G-UZHA,A20N,EGGD/BRS,LCLK/LCA,0,0,2024-11-05 09:14:58 UTC,Day flight,EZY
BY562,TOM5YA,G-TUMU,B38M,EGGD/BRS,GVAC/SID,9725,282,2024-11-05 09:14:58 UTC,Day flight,TOM
KL1076,KLM80X,D-ACJJ,E190,EGGD/BRS,EHAM/AMS,15575,352,2024-11-05 09:14:58 UTC,Day flight,GER
U2224,EZY937G,G-UZLP,A20N,EGAA/BFS,EGGD/BRS,4850,253,2024-11-05 09:14:58 UTC,Day flight,EZY
,NJU924H,G-NJAB,C56X,EGGD/BRS,EGJJ/JER,16000,341,2024-11-05 09:29:57 UTC,Day flight,NJU
U2238,EZY38YA,G-EZTZ,A320,EGNT/NCL,EGGD/BRS,8000,226,2024-11-05 09:29:57 UTC,Day flight,EZY
LS1883,EXS39C,G-JZBG,B738,EGGD/BRS,GCTS/TFS,0,0,2024-11-05 09:29:40 UTC,Day flight,EXS
U22873,EZY81KD,G-UZMA,A21N,EGGD/BRS,LPFR/FAO,0,0,2024-11-05 09:29:50 UTC,Day flight,EZY
U22903,EZY16AM,G-UZHA,A20N,EGGD/BRS,LCLK/LCA,6350,260,2024-11-05 09:29:59 UTC,Day flight,EZY
U2214,EZY37UM,G-EZWI,A320,EGPH/EDI,EGGD/BRS,1200,139,2024-11-05 09:29:57 UTC,Day flight,EZY
FR4754,RYR9ND,EI-IFY,B38M,GCTS/TFS,EGGD/BRS,4925,229,2024-11-05 09:29:57 UTC,Day flight,RYR
LS1883,EXS39C,G-JZBG,B738,EGGD/BRS,GCTS/TFS,26850,420,2024-11-05 09:44:59 UTC,Day flight,EXS
U22873,EZY81KD,G-UZMA,A21N,EGGD/BRS,LPFR/FAO,22950,378,2024-11-05 09:44:58 UTC,Day flight,EZY
U2238,EZY38YA,G-EZTZ,A320,EGNT/NCL,EGGD/BRS,0,0,2024-11-05 09:44:45 UTC,Day flight,EZY
,CLF776A,G-KVIP,BE20,EGGD/BRS,LEMI/RMU,0,0,2024-11-05 09:44:57 UTC,Day flight,CLF
U2202,EZY93CM,G-EZUW,A320,EGPF/GLA,EGGD/BRS,4450,226,2024-11-05 09:44:58 UTC,Day flight,EZY
FR2292,RYR87SV,EI-IFV,B38M,EGGD/BRS,LEAL/ALC,0,0,2024-11-05 09:59:57 UTC,Day flight,RYR
,CLF776A,G-KVIP,BE20,EGGD/BRS,LEMI/RMU,13875,157,2024-11-05 09:59:59 UTC,Day flight,CLF
,CLF776A,G-KVIP,BE20,EGGD/BRS,LEMI/RMU,27050,224,2024-11-05 10:14:58 UTC,Day flight,CLF
LS1803,EXS1803,G-JZBN,B738,EGGD/BRS,GCRR/ACE,23875,402,2024-11-05 10:14:59 UTC,Day flight,EXS
FR2292,RYR87SV,EI-IFV,B38M,EGGD/BRS,LEAL/ALC,19850,352,2024-11-05 10:14:59 UTC,Day flight,RYR
U22913,EZY2913,G-UZLP,A20N,EGGD/BRS,HEGN/HRG,0,0,2024-11-05 10:29:38 UTC,Day flight,EZY
FR3559,RYR43MA,EI-EBR,B738,LIME/BGY,EGGD/BRS,13975,297,2024-11-05 10:29:59 UTC,Day flight,RYR
FR3559,RYR43MA,EI-EBR,B738,LIME/BGY,EGGD/BRS,0,17,2024-11-05 10:44:59 UTC,Day flight,RYR
U22875,EZY53PM,G-EZTZ,A320,EGGD/BRS,LPPR/OPO,0,3,2024-11-05 10:44:59 UTC,Day flight,EZY
FR4753,RYR56SX,EI-IFY,B38M,EGGD/BRS,GCTS/TFS,0,0,2024-11-05 10:44:50 UTC,Day flight,RYR
U22913,EZY2913,G-UZLP,A20N,EGGD/BRS,HEGN/HRG,19175,377,2024-11-05 10:44:57 UTC,Day flight,EZY
U22875,EZY53PM,G-EZTZ,A320,EGGD/BRS,LPPR/OPO,25500,399,2024-11-05 10:59:58 UTC,Day flight,EZY
LS1831,EXS3NX,G-DRTK,B738,EGGD/BRS,LGIR/HER,9650,254,2024-11-05 11:00:00 UTC,Day flight,EXS
BY6278,TOM33W,G-TUMS,B38M,EGGD/BRS,GCTS/TFS,0,0,2024-11-05 11:14:23 UTC,Day flight,TOM
FR6220,RYR47SE,EI-HAT,B38M,EPKK/KRK,EGGD/BRS,3525,178,2024-11-05 11:14:59 UTC,Day flight,RYR
U22772,EZY18TQ,G-EZUO,A320,LFPG/CDG,EGGD/BRS,11300,362,2024-11-05 11:14:57 UTC,Day flight,EZY
U2217,EZY137C,G-EZUW,A320,EGGD/BRS,EGPH/EDI,5325,239,2024-11-05 11:29:58 UTC,Day flight,EZY
U22772,EZY18TQ,G-EZUO,A320,LFPG/CDG,EGGD/BRS,4750,234,2024-11-05 11:29:57 UTC,Day flight,EZY
FR504,RYR61VY,EI-EBO,B738,EIDW/DUB,EGGD/BRS,10075,244,2024-11-05 11:29:57 UTC,Day flight,RYR
U22772,EZY18TQ,G-EZUO,A320,LFPG/CDG,EGGD/BRS,0,0,2024-11-05 11:44:55 UTC,Day flight,EZY
FR504,RYR61VY,EI-EBO,B738,EIDW/DUB,EGGD/BRS,0,1,2024-11-05 11:44:55 UTC,Day flight,RYR
U22714,EZY93PH,G-UZMI,A21N,LEMG/AGP,EGGD/BRS,20700,389,2024-11-05 11:59:58 UTC,Day flight,EZY
U22714,EZY93PH,G-UZMI,A21N,LEMG/AGP,EGGD/BRS,1500,136,2024-11-05 12:14:59 UTC,Day flight,EZY
U22710,EZY24QH,G-UZHF,A20N,LEPA/PMI,EGGD/BRS,13050,304,2024-11-05 12:30:00 UTC,Day flight,EZY
U22935,EZY61QT,G-EZRX,A320,EGGD/BRS,LKPR/PRG,0,27,2024-11-05 12:29:47 UTC,Day flight,EZY
U22710,EZY24QH,G-UZHF,A20N,LEPA/PMI,EGGD/BRS,0,9,2024-11-05 12:44:59 UTC,Day flight,EZY
FR505,RYR66QN,EI-EBR,B738,EGGD/BRS,EIDW/DUB,3400,210,2024-11-05 12:59:58 UTC,Day flight,RYR
U22719,EZY48VB,G-EZWI,A320,EGGD/BRS,GCFV/FUE,0,0,2024-11-05 13:14:54 UTC,Day flight,EZY
KL1079,KLM53Q,G-CLSN,E190,EHAM/AMS,EGGD/BRS,1200,138,2024-11-05 13:14:59 UTC,Day flight,EZE
U22722,EZY25WK,G-EZTX,A320,LEAL/ALC,EGGD/BRS,3925,206,2024-11-05 13:15:00 UTC,Day flight,EZY
U22938,EZY96RE,G-UZHJ,A20N,EPKK/KRK,EGGD/BRS,8125,268,2024-11-05 13:14:58 UTC,Day flight,EZY
U22719,EZY48VB,G-EZWI,A320,EGGD/BRS,GCFV/FUE,11925,330,2024-11-05 13:30:00 UTC,Day flight,EZY
U22735,EZY82RC,G-EZUO,A320,EGGD/BRS,GCLP/LPA,1800,167,2024-11-05 13:30:00 UTC,Day flight,EZY
U2219,EZY291L,G-EZRT,A320,EGGD/BRS,EGPH/EDI,0,3,2024-11-05 13:44:59 UTC,Day flight,EZY
U22727,EZY64AC,G-UZMI,A21N,EGGD/BRS,GCTS/TFS,0,0,2024-11-05 13:44:59 UTC,Day flight,EZY
U22723,EZY21XM,G-UZHF,A20N,EGGD/BRS,LEAL/ALC,0,50,2024-11-05 13:59:44 UTC,Day flight,EZY
U2219,EZY291L,G-EZRT,A320,EGGD/BRS,EGPH/EDI,15150,368,2024-11-05 14:00:00 UTC,Day flight,EZY
KL1080,KLM1080,G-CLSN,E190,EGGD/BRS,EHAM/AMS,0,3,2024-11-05 13:59:59 UTC,Day flight,EZE
KL1080,KLM1080,G-CLSN,E190,EGGD/BRS,EHAM/AMS,13775,344,2024-11-05 14:14:57 UTC,Day flight,EZE
U2218,EZY57MQ,G-EZUW,A320,EGPH/EDI,EGGD/BRS,10575,314,2024-11-05 14:14:59 UTC,Day flight,EZY
U2218,EZY57MQ,G-EZUW,A320,EGPH/EDI,EGGD/BRS,0,9,2024-11-05 14:29:45 UTC,Day flight,EZY
EI3284,EAI84U,EI-GZV,AT76,EIDW/DUB,EGGD/BRS,6500,264,2024-11-05 15:00:01 UTC,Day flight,EAI
U22876,EZY43CM,G-EZTZ,A320,LPPR/OPO,EGGD/BRS,19025,371,2024-11-05 15:15:00 UTC,Day flight,EZY
FR2291,RYR73ZK,EI-IFV,B38M,LEAL/ALC,EGGD/BRS,8675,304,2024-11-05 15:14:58 UTC,Day flight,RYR
U22734,EZY56VQ,G-UZHT,A20N,GCRR/ACE,EGGD/BRS,24675,387,2024-11-05 15:29:59 UTC,Day flight,EZY
U22874,EZY78WL,G-UZMA,A21N,LPFR/FAO,EGGD/BRS,18800,378,2024-11-05 15:29:59 UTC,Day flight,EZY
U22876,EZY43CM,G-EZTZ,A320,LPPR/OPO,EGGD/BRS,1100,138,2024-11-05 15:29:59 UTC,Day flight,EZY
U22964,EZY28PB,G-UZHI,A20N,GMMX/RAK,EGGD/BRS,25625,366,2024-11-05 15:44:58 UTC,Day flight,EZY
U22874,EZY78WL,G-UZMA,A21N,LPFR/FAO,EGGD/BRS,1050,129,2024-11-05 15:44:57 UTC,Day flight,EZY
U22734,EZY56VQ,G-UZHT,A20N,GCRR/ACE,EGGD/BRS,3750,216,2024-11-05 15:44:58 UTC,Day flight,EZY
U22945,EZY25LQ,G-EZTX,A320,EGGD/BRS,BIKF/KEF,0,3,2024-11-05 16:00:00 UTC,Day flight,EZY
EI3843,EAI18K,EI-GZV,AT76,EGGD/BRS,EICK/ORK,0,16,2024-11-05 15:59:26 UTC,Day flight,EAI
,EZY78WL,G-UZMA,A21N,EGGD/BRS,None/None,0,0,2024-11-05 16:00:00 UTC,Day flight,EZY
U22964,EZY28PB,G-UZHI,A20N,GMMX/RAK,EGGD/BRS,3275,224,2024-11-05 15:59:59 UTC,Day flight,EZY
EI3843,EAI18K,EI-GZV,AT76,EGGD/BRS,EICK/ORK,14825,202,2024-11-05 16:14:58 UTC,Day flight,EAI
U22945,EZY25LQ,G-EZTX,A320,EGGD/BRS,BIKF/KEF,17400,378,2024-11-05 16:14:58 UTC,Day flight,EZY
U2220,EZY82RM,G-EZRT,A320,EGPH/EDI,EGGD/BRS,1175,134,2024-11-05 16:29:59 UTC,Day flight,EZY
U22707,EZY14KG,G-UZHJ,A20N,EGGD/BRS,LEMD/MAD,750,160,2024-11-05 16:44:58 UTC,Day flight,EZY
KL1081,KLM55E,PH-EXJ,E75S,EHAM/AMS,EGGD/BRS,4725,214,2024-11-05 16:44:58 UTC,Day flight,KLC
LS1882,EXS38AN,G-JZDH,B738,LGRP/RHO,EGGD/BRS,9250,272,2024-11-05 16:44:58 UTC,Day flight,EXS
U22936,EZY75PQ,G-EZRX,A320,LKPR/PRG,EGGD/BRS,14350,282,2024-11-05 16:44:57 UTC,Day flight,EZY
U22936,EZY75PQ,G-EZRX,A320,LKPR/PRG,EGGD/BRS,0,16,2024-11-05 16:59:59 UTC,Day flight,EZY
LS1882,EXS38AN,G-JZDH,B738,LGRP/RHO,EGGD/BRS,0,0,2024-11-05 16:59:59 UTC,Day flight,EXS
FR4121,RYR56DP,EI-IFV,B38M,EGGD/BRS,LEMG/AGP,0,0,2024-11-05 16:59:55 UTC,Day flight,RYR
LS1864,EXS47SR,G-JZHX,B738,GCLP/LPA,EGGD/BRS,8400,287,2024-11-05 17:14:57 UTC,Day flight,EXS
FR4121,RYR56DP,EI-IFV,B38M,EGGD/BRS,LEMG/AGP,7475,266,2024-11-05 17:14:57 UTC,Day flight,RYR
U22765,EZY34HD,G-UZHT,A20N,EGGD/BRS,LFMN/NCE,14875,350,2024-11-05 17:14:56 UTC,Day flight,EZY
LS1864,EXS47SR,G-JZHX,B738,GCLP/LPA,EGGD/BRS,0,13,2024-11-05 17:29:55 UTC,Day flight,EXS
KL1082,KLM30J,PH-EXJ,E75S,EGGD/BRS,EHAM/AMS,0,0,2024-11-05 17:29:46 UTC,Day flight,KLC
KL1082,KLM30J,PH-EXJ,E75S,EGGD/BRS,EHAM/AMS,12425,310,2024-11-05 17:44:57 UTC,Day flight,KLC
U2227,EZY815Z,G-EZRX,A320,EGGD/BRS,EGAA/BFS,0,5,2024-11-05 18:00:00 UTC,Day flight,EZY
LS1804,EXS18GH,G-JZBN,B738,GCRR/ACE,EGGD/BRS,20075,337,2024-11-05 18:14:58 UTC,Day flight,EXS
LS1884,EXS94VU,G-JZBG,B738,GCTS/TFS,EGGD/BRS,17175,374,2024-11-05 18:14:58 UTC,Day flight,EXS
U2207,EZY615U,G-UZMA,A21N,EGGD/BRS,EGPF/GLA,0,0,2024-11-05 18:14:11 UTC,Day flight,EZY
U22923,EZY65ZK,G-EZRT,A320,EGGD/BRS,EHAM/AMS,12750,377,2024-11-05 18:14:59 UTC,Day flight,EZY
LS1804,EXS18GH,G-JZBN,B738,GCRR/ACE,EGGD/BRS,3500,170,2024-11-05 18:29:58 UTC,Day flight,EXS
LS1884,EXS94VU,G-JZBG,B738,GCTS/TFS,EGGD/BRS,625,139,2024-11-05 18:30:00 UTC,Day flight,EXS
U2207,EZY615U,G-UZMA,A21N,EGGD/BRS,EGPF/GLA,0,0,2024-11-05 18:29:46 UTC,Day flight,EZY
U22775,EZY63TR,G-EZTZ,A320,EGGD/BRS,LFPG/CDG,14250,377,2024-11-05 18:30:00 UTC,Day flight,EZY
EI3842,EAI17C,EI-GZV,AT76,EICK/ORK,EGGD/BRS,5525,254,2024-11-05 18:44:57 UTC,Day flight,EAI
,CLF776A,G-KVIP,BE20,LEMI/RMU,EGGD/BRS,17375,292,2024-11-05 18:59:57 UTC,Day flight,CLF
U2207,EZY615U,G-UZMA,A21N,EGGD/BRS,EGPF/GLA,0,0,2024-11-05 18:59:55 UTC,Day flight,EZY
LM45,LOG5PS,G-SAJN,E145,EGPD/ABZ,EGGD/BRS,0,55,2024-11-05 18:59:59 UTC,Day flight,LOG
U2215,EZY759D,G-UZHI,A20N,EGGD/BRS,EGPH/EDI,0,0,2024-11-05 18:59:41 UTC,Day flight,EZY
U22724,EZY12XP,G-UZHF,A20N,LEAL/ALC,EGGD/BRS,20900,358,2024-11-05 19:14:58 UTC,Day flight,EZY
,CLF776A,G-KVIP,BE20,LEMI/RMU,EGGD/BRS,2625,218,2024-11-05 19:14:57 UTC,Day flight,CLF
U22904,EZY26EJ,G-UZHA,A20N,LCLK/LCA,EGGD/BRS,375,137,2024-11-05 19:29:59 UTC,Day flight,EZY
U22724,EZY12XP,G-UZHF,A20N,LEAL/ALC,EGGD/BRS,3425,191,2024-11-05 19:30:00 UTC,Day flight,EZY
LS1832,EXS1832,G-DRTK,B738,LGIR/HER,EGGD/BRS,550,142,2024-11-05 19:45:00 UTC,Day flight,EXS
LM46,LOG6LG,G-SAJN,E145,EGGD/BRS,EGPD/ABZ,6475,220,2024-11-05 19:45:00 UTC,Day flight,LOG
EI3287,EAI87M,EI-GZV,AT76,EGGD/BRS,EIDW/DUB,0,21,2024-11-05 19:44:56 UTC,Day flight,EAI
EI3287,EAI87M,EI-GZV,AT76,EGGD/BRS,EIDW/DUB,13075,198,2024-11-05 19:59:58 UTC,Day flight,EAI
BY6279,TOM2EC,G-TUMS,B38M,GCTS/TFS,EGGD/BRS,22300,356,2024-11-05 20:29:58 UTC,Day flight,TOM
U2228,EZY69FU,G-EZRX,A320,EGAA/BFS,EGGD/BRS,0,0,2024-11-05 20:29:59 UTC,Day flight,EZY
BY6279,TOM2EC,G-TUMS,B38M,GCTS/TFS,EGGD/BRS,2575,166,2024-11-05 20:45:00 UTC,Day flight,TOM
U22924,EZY73FX,G-EZRT,A320,EHAM/AMS,EGGD/BRS,12300,328,2024-11-05 20:59:56 UTC,Day flight,EZY
BY563,TOM563,G-TUMU,B38M,GVAC/SID,EGGD/BRS,12250,315,2024-11-05 21:14:59 UTC,Day flight,TOM
U22924,EZY73FX,G-EZRT,A320,EHAM/AMS,EGGD/BRS,0,11,2024-11-05 21:14:59 UTC,Day flight,EZY
U22776,EZY79NY,G-EZTZ,A320,LFPG/CDG,EGGD/BRS,14275,330,2024-11-05 21:14:58 UTC,Day flight,EZY
BY563,TOM563,G-TUMU,B38M,GVAC/SID,EGGD/BRS,0,1,2024-11-05 21:29:59 UTC,Day flight,TOM
U22720,EZY37AR,G-EZWI,A320,GCFV/FUE,EGGD/BRS,7650,292,2024-11-05 21:29:58 UTC,Day flight,EZY
U22776,EZY79NY,G-EZTZ,A320,LFPG/CDG,EGGD/BRS,275,142,2024-11-05 21:29:57 UTC,Day flight,EZY
U2216,EZY74ZM,G-UZHI,A20N,EGPH/EDI,EGGD/BRS,0,76,2024-11-05 21:44:59 UTC,Day flight,EZY
U22708,EZY21YM,G-UZHJ,A20N,LEMD/MAD,EGGD/BRS,13525,312,2024-11-05 21:44:58 UTC,Day flight,EZY
U22766,EZY71PA,G-UZHT,A20N,LFMN/NCE,EGGD/BRS,2575,167,2024-11-05 21:44:57 UTC,Day flight,EZY
U2208,EZY612X,G-UZMA,A21N,EGPF/GLA,EGGD/BRS,4675,209,2024-11-05 21:44:58 UTC,Day flight,EZY
KL1083,KLM69G,G-CLYU,E190,EHAM/AMS,EGGD/BRS,8000,240,2024-11-05 21:44:57 UTC,Day flight,EZE
U22708,EZY21YM,G-UZHJ,A20N,LEMD/MAD,EGGD/BRS,0,25,2024-11-05 22:00:00 UTC,Day flight,EZY
KL1083,KLM69G,G-CLYU,E190,EHAM/AMS,EGGD/BRS,0,5,2024-11-05 21:59:59 UTC,Day flight,EZE
U22946,EZY48GV,G-EZTX,A320,BIKF/KEF,EGGD/BRS,10050,288,2024-11-05 22:14:59 UTC,Day flight,EZY
U22946,EZY48GV,G-EZTX,A320,BIKF/KEF,EGGD/BRS,0,5,2024-11-05 22:30:00 UTC,Shoulder period,EZY
U22736,EZY2736,G-EZUO,A320,GCLP/LPA,EGGD/BRS,3450,226,2024-11-05 22:29:58 UTC,Day flight,EZY
U22914,EZY69CR,G-UZLP,A20N,HEGN/HRG,EGGD/BRS,7000,224,2024-11-05 22:29:58 UTC,Day flight,EZY
FR4122,RYR49KR,EI-IFV,B38M,LEMG/AGP,EGGD/BRS,11975,350,2024-11-05 22:44:57 UTC,Shoulder period,RYR
U22728,EZY92PG,G-UZMI,A21N,GCTS/TFS,EGGD/BRS,13525,313,2024-11-05 22:59:58 UTC,Shoulder period,EZY
U22728,EZY92PG,G-UZMI,A21N,GCTS/TFS,EGGD/BRS,0,15,2024-11-05 23:14:59 UTC,Night flight,EZY
,,G-UZLP,A20N,EGGD/BRS,None/None,0,0,2024-11-05 23:44:59 UTC,Night flight,EZY
T39644,EZE9644,G-IACZ,AT76,EGGD/BRS,EGNX/EMA,0,10,2024-11-05 23:45:00 UTC,Night flight,EZE
