flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_delay,time_category
u22731,easyjet,active,2023-05-04t06:05:00.000,2023-05-04t06:15:00.000,2023-05-04 06:28:00,24,Shoulder hour flights
u22843,easyjet,active,2023-05-04t06:10:00.000,2023-05-04t06:10:00.000,2023-05-04 06:22:00,12,Shoulder hour flights
ls1877,jet2,active,2023-05-04t06:15:00.000,2023-05-04t06:39:00.000,2023-05-04 06:38:00,23,Shoulder hour flights
u22702,easyjet,active,2023-05-04t06:15:00.000,2023-05-04t06:15:00.000,2023-05-04 06:25:00,11,Shoulder hour flights
u22837,easyjet,active,2023-05-04t06:15:00.000,2023-05-04t06:15:00.000,2023-05-04 06:36:00,21,Shoulder hour flights
ls1897,jet2,active,2023-05-04t06:25:00.000,2023-05-04t06:35:00.000,2023-05-04 06:52:00,28,Shoulder hour flights
ls1821,jet2,active,2023-05-04t06:25:00.000,2023-05-04t06:25:00.000,2023-05-04 06:43:00,19,Shoulder hour flights
u22939,easyjet,active,2023-05-04t06:35:00.000,2023-05-04t06:35:00.000,2023-05-04 06:45:00,11,Shoulder hour flights
fr505,ryanair,active,2023-05-05t05:55:00.000,2023-05-05t06:05:00.000,2023-05-05 06:16:00,21,Shoulder hour flights
ls1885,jet2,active,2023-05-05t05:55:00.000,2023-05-05t06:05:00.000,2023-05-05 06:11:00,16,Shoulder hour flights
u22709,easyjet,active,2023-05-05t06:00:00.000,2023-05-05t06:00:00.000,2023-05-05 06:08:00,9,Shoulder hour flights
u22715,easyjet,active,2023-05-05t06:00:00.000,2023-05-05t06:00:00.000,2023-05-05 06:18:00,19,Shoulder hour flights
u22845,easyjet,active,2023-05-05t06:00:00.000,2023-05-05t06:00:00.000,2023-05-05 06:13:00,14,Shoulder hour flights
u22731,easyjet,active,2023-05-05t06:05:00.000,2023-05-05t06:05:00.000,2023-05-05 06:25:00,21,Shoulder hour flights
u22805,easyjet,active,2023-05-05t06:10:00.000,2023-05-05t06:15:00.000,2023-05-05 06:28:00,19,Shoulder hour flights
ls1871,jet2,active,2023-05-05t06:15:00.000,2023-05-05t06:15:00.000,2023-05-05 06:22:00,7,Shoulder hour flights
af5199,air france,active,2023-05-05t06:20:00.000,2023-05-05t06:32:00.000,2023-05-05 06:31:00,11,Shoulder hour flights
az3737,alitalia,active,2023-05-05t06:20:00.000,2023-05-05t06:32:00.000,2023-05-05 06:31:00,11,Shoulder hour flights
dl9422,delta air lines,active,2023-05-05t06:20:00.000,2023-05-05t06:32:00.000,2023-05-05 06:31:00,11,Shoulder hour flights
ey7330,etihad airways,active,2023-05-05t06:20:00.000,2023-05-05t06:32:00.000,2023-05-05 06:31:00,11,Shoulder hour flights
g35535,gol,active,2023-05-05t06:20:00.000,2023-05-05t06:32:00.000,2023-05-05 06:31:00,11,Shoulder hour flights
kq1046,kenya airways,active,2023-05-05t06:20:00.000,2023-05-05t06:32:00.000,2023-05-05 06:31:00,11,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-05t06:20:00.000,2023-05-05t06:32:00.000,2023-05-05 06:31:00,11,Shoulder hour flights
kl1046,klm,active,2023-05-05t06:20:00.000,2023-05-05t06:32:00.000,2023-05-05 06:31:00,11,Shoulder hour flights
x36534,tuifly,active,2023-05-05t06:40:00.000,2023-05-05t06:40:00.000,2023-05-05 06:52:00,13,Shoulder hour flights
u22941,easyjet,active,2023-05-05t06:45:00.000,2023-05-05t06:45:00.000,2023-05-05 06:50:00,5,Shoulder hour flights
u22721,easyjet,active,2023-05-05t06:50:00.000,2023-05-05t06:50:00.000,2023-05-05 06:57:00,7,Shoulder hour flights
u22715,easyjet,active,2023-05-06t06:00:00.000,2023-05-06t06:00:00.000,2023-05-06 06:11:00,12,Shoulder hour flights
u22721,easyjet,active,2023-05-06t06:00:00.000,2023-05-06t06:00:00.000,2023-05-06 06:09:00,10,Shoulder hour flights
x36672,tuifly,active,2023-05-06t06:05:00.000,2023-05-06t06:05:00.000,2023-05-06 06:41:00,37,Shoulder hour flights
u22731,easyjet,active,2023-05-06t06:10:00.000,2023-05-06t06:10:00.000,2023-05-06 06:25:00,15,Shoulder hour flights
u22921,easyjet,active,2023-05-06t06:10:00.000,2023-05-06t06:10:00.000,2023-05-06 06:16:00,7,Shoulder hour flights
ls1821,jet2,active,2023-05-06t06:15:00.000,2023-05-06t06:15:00.000,2023-05-06 06:37:00,22,Shoulder hour flights
u22702,easyjet,active,2023-05-06t06:15:00.000,2023-05-06t06:15:00.000,2023-05-06 06:22:00,8,Shoulder hour flights
af5199,air france,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:39:00,19,Shoulder hour flights
az3737,alitalia,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:39:00,19,Shoulder hour flights
dl9422,delta air lines,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:39:00,19,Shoulder hour flights
ey7330,etihad airways,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:39:00,19,Shoulder hour flights
g35535,gol,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:39:00,19,Shoulder hour flights
kq1046,kenya airways,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:39:00,19,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:39:00,19,Shoulder hour flights
kl1046,klm,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:39:00,19,Shoulder hour flights
x36680,tuifly,active,2023-05-06t06:20:00.000,2023-05-06t06:00:00.000,2023-05-06 06:00:00,0,Shoulder hour flights
u22733,easyjet,active,2023-05-06t06:20:00.000,2023-05-06t06:20:00.000,2023-05-06 06:44:00,24,Shoulder hour flights
fr505,ryanair,active,2023-05-06t06:25:00.000,2023-05-06t06:25:00.000,2023-05-06 06:48:00,23,Shoulder hour flights
u22877,easyjet,active,2023-05-06t06:25:00.000,2023-05-06t06:25:00.000,2023-05-06 06:32:00,7,Shoulder hour flights
ls1835,jet2,active,2023-05-06t06:30:00.000,2023-05-06t06:30:00.000,2023-05-06 06:46:00,16,Shoulder hour flights
u22883,easyjet,active,2023-05-06t06:30:00.000,2023-05-06t06:30:00.000,2023-05-06 06:52:00,22,Shoulder hour flights
x3696,tuifly,active,2023-05-06t06:15:00.000,2023-05-06t06:25:00.000,2023-05-06 06:29:00,14,Shoulder hour flights
fr8202,ryanair,active,2023-05-07t05:55:00.000,2023-05-07t05:55:00.000,2023-05-07 06:00:00,5,Shoulder hour flights
x36774,tuifly,active,2023-05-07t06:00:00.000,2023-05-07t06:00:00.000,2023-05-07 06:10:00,11,Shoulder hour flights
x36710,tuifly,active,2023-05-07t06:00:00.000,2023-05-07t06:00:00.000,2023-05-07 06:06:00,7,Shoulder hour flights
u22815,easyjet,active,2023-05-07t06:00:00.000,2023-05-07t06:11:00.000,2023-05-07 06:27:00,27,Shoulder hour flights
u22853,easyjet,active,2023-05-07t06:00:00.000,2023-05-07t06:07:00.000,2023-05-07 06:20:00,21,Shoulder hour flights
u22891,easyjet,active,2023-05-07t06:10:00.000,2023-05-07t06:20:00.000,2023-05-07 06:29:00,19,Shoulder hour flights
u22939,easyjet,active,2023-05-07t06:10:00.000,2023-05-07t06:10:00.000,2023-05-07 06:36:00,26,Shoulder hour flights
ls1815,jet2,active,2023-05-07t06:15:00.000,2023-05-07t06:34:00.000,2023-05-07 06:40:00,26,Shoulder hour flights
ls1871,jet2,active,2023-05-07t06:15:00.000,2023-05-07t06:15:00.000,2023-05-07 06:31:00,17,Shoulder hour flights
u22702,easyjet,active,2023-05-07t06:15:00.000,2023-05-07t06:15:00.000,2023-05-07 06:33:00,19,Shoulder hour flights
u22715,easyjet,active,2023-05-07t06:15:00.000,2023-05-07t06:15:00.000,2023-05-07 06:22:00,8,Shoulder hour flights
u22731,easyjet,active,2023-05-07t06:15:00.000,2023-05-07t06:28:00.000,2023-05-07 06:42:00,28,Shoulder hour flights
af5199,air france,active,2023-05-07t06:20:00.000,2023-05-07t06:20:00.000,2023-05-07 06:38:00,18,Shoulder hour flights
az3737,alitalia,active,2023-05-07t06:20:00.000,2023-05-07t06:20:00.000,2023-05-07 06:38:00,18,Shoulder hour flights
dl9422,delta air lines,active,2023-05-07t06:20:00.000,2023-05-07t06:20:00.000,2023-05-07 06:38:00,18,Shoulder hour flights
ey7330,etihad airways,active,2023-05-07t06:20:00.000,2023-05-07t06:20:00.000,2023-05-07 06:38:00,18,Shoulder hour flights
g35535,gol,active,2023-05-07t06:20:00.000,2023-05-07t06:20:00.000,2023-05-07 06:38:00,18,Shoulder hour flights
kq1046,kenya airways,active,2023-05-07t06:20:00.000,2023-05-07t06:20:00.000,2023-05-07 06:38:00,18,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-07t06:20:00.000,2023-05-07t06:20:00.000,2023-05-07 06:38:00,18,Shoulder hour flights
kl1046,klm,active,2023-05-07t06:20:00.000,2023-05-07t06:20:00.000,2023-05-07 06:38:00,18,Shoulder hour flights
x36770,tuifly,active,2023-05-07t06:30:00.000,2023-05-07t06:30:00.000,2023-05-07 06:52:00,23,Shoulder hour flights
u22821,easyjet,active,2023-05-07t06:35:00.000,2023-05-07t06:37:00.000,2023-05-07 06:56:00,22,Shoulder hour flights
u22841,easyjet,active,2023-05-07t06:35:00.000,2023-05-07t06:35:00.000,2023-05-07 06:49:00,14,Shoulder hour flights
x3736,tuifly,active,2023-05-07t06:00:00.000,2023-05-07t06:10:00.000,2023-05-07 06:25:00,25,Shoulder hour flights
u22845,easyjet,active,2023-05-08t06:00:00.000,2023-05-08t06:00:00.000,2023-05-08 06:00:00,0,Shoulder hour flights
ls1879,jet2,active,2023-05-08t06:45:00.000,2023-05-08t06:55:00.000,2023-05-08 06:55:00,10,Shoulder hour flights
x36212,tuifly,active,2023-05-09t06:00:00.000,2023-05-09t06:10:00.000,2023-05-09 06:09:00,9,Shoulder hour flights
