flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
U22859,EZY2859,G-UZLL,A20N,EGGD/BRS,LTFM/IST,11325,327,2024-11-11 13:44:59 UTC,Day flight,EZY
FR4755,RYR52FV,EI-EFZ,B738,EGGD/BRS,GCRR/ACE,0,0,2024-11-11 13:59:50 UTC,Day flight,RYR
FR749,RYR4NJ,EI-HAT,B38M,EGGD/BRS,LKPR/PRG,0,0,2024-11-11 13:59:58 UTC,Day flight,RYR
,EZY47CN,G-UZMI,A21N,EGGD/BRS,None/None,0,0,2024-11-11 13:59:54 UTC,Day flight,EZY
EC7393,EJU7393,OE-LSR,A20N,EGGD/BRS,None/None,0,0,2024-11-11 13:59:58 UTC,Day flight,EJU
U22719,EZY48VB,G-UZLP,A20N,EGGD/BRS,GCFV/FUE,0,0,2024-11-11 13:59:59 UTC,Day flight,EZY
U22832,EZY32RZ,G-EZTG,A320,EGGD/BRS,LIPZ/VCE,9875,280,2024-11-11 13:59:58 UTC,Day flight,EZY
GR642,AUR42D,G-PEMB,AT76,EGJB/GCI,EGGD/BRS,10650,250,2024-11-11 14:14:58 UTC,Day flight,AUR
U22719,EZY48VB,G-UZLP,A20N,EGGD/BRS,GCFV/FUE,0,0,2024-11-11 14:14:59 UTC,Day flight,EZY
U27394,EJU62YN,OE-LSR,A20N,EGGD/BRS,LPPT/LIS,0,0,2024-11-11 14:14:56 UTC,Day flight,EJU
KL1080,KLM1080,G-CLSN,E190,EGGD/BRS,EHAM/AMS,0,0,2024-11-11 14:14:57 UTC,Day flight,EZE
FR4755,RYR52FV,EI-EFZ,B738,EGGD/BRS,GCRR/ACE,10750,299,2024-11-11 14:14:58 UTC,Day flight,RYR
U22731,EZY56KM,G-UZMH,A21N,EGGD/BRS,GCTS/TFS,4175,244,2024-11-11 14:14:57 UTC,Day flight,EZY
FR749,RYR4NJ,EI-HAT,B38M,EGGD/BRS,LKPR/PRG,20900,358,2024-11-11 14:14:57 UTC,Day flight,RYR
U22719,EZY48VB,G-UZLP,A20N,EGGD/BRS,GCFV/FUE,0,4,2024-11-11 14:29:59 UTC,Day flight,EZY
U2225,EZY979B,G-EZWI,A320,EGGD/BRS,EGAA/BFS,0,19,2024-11-11 14:29:59 UTC,Day flight,EZY
GR642,AUR42D,G-PEMB,AT76,EGJB/GCI,EGGD/BRS,0,15,2024-11-11 14:29:54 UTC,Day flight,AUR
U27394,EJU62YN,OE-LSR,A20N,EGGD/BRS,LPPT/LIS,0,0,2024-11-11 14:29:57 UTC,Day flight,EJU
U2204,EZY93FV,G-EZRT,A320,EGPF/GLA,EGGD/BRS,9700,290,2024-11-11 14:29:56 UTC,Day flight,EZY
U22878,EZY83NR,G-UZHD,A20N,LPMA/FNC,EGGD/BRS,14375,328,2024-11-11 14:44:58 UTC,Day flight,EZY
U2245,EZY789J,G-UZHA,A20N,EGGD/BRS,EGPE/INV,0,0,2024-11-11 14:44:52 UTC,Day flight,EZY
U27394,EJU62YN,OE-LSR,A20N,EGGD/BRS,LPPT/LIS,0,0,2024-11-11 14:44:58 UTC,Day flight,EJU
U22882,EZY94QB,G-EZGY,A320,LFSB/BSL,EGGD/BRS,1750,154,2024-11-11 15:00:00 UTC,Day flight,EZY
U22878,EZY83NR,G-UZHD,A20N,LPMA/FNC,EGGD/BRS,0,6,2024-11-11 14:59:52 UTC,Day flight,EZY
U27394,EJU62YN,OE-LSR,A20N,EGGD/BRS,LPPT/LIS,0,0,2024-11-11 14:59:59 UTC,Day flight,EJU
EI3284,EAI84U,EI-GPO,AT76,EIDW/DUB,EGGD/BRS,12825,288,2024-11-11 14:59:59 UTC,Day flight,EAI
