departure_date,flight_type,total_flights,avg_departure_delay
2023-08-07,Shoulder hour flights,23,16.52173913043478
2023-08-08,Regular departures,95,19.021052631578947
2023-08-08,Shoulder hour flights,5,15.6
2023-08-09,Regular departures,88,19.647727272727273
2023-08-09,Shoulder hour flights,21,12.80952380952381
2023-08-10,Regular departures,92,19.782608695652176
2023-08-10,Shoulder hour flights,25,14.28
2023-08-11,Night hour departures,1,12.0
2023-08-11,Regular departures,87,23.67816091954023
2023-08-11,Shoulder hour flights,22,13.318181818181818
2023-08-12,Regular departures,68,22.455882352941178
2023-08-12,Shoulder hour flights,10,15.1
2023-08-13,Regular departures,90,21.18888888888889
2023-08-13,Shoulder hour flights,23,14.695652173913043
2023-08-14,Regular departures,92,19.706521739130434
2023-08-14,Shoulder hour flights,23,15.217391304347826
2023-08-15,Regular departures,95,19.273684210526316
2023-08-15,Shoulder hour flights,22,17.727272727272727
2023-08-16,Regular departures,77,18.766233766233768
2023-08-16,Shoulder hour flights,24,15.875
2023-08-17,Regular departures,81,24.135802469135804
2023-08-17,Shoulder hour flights,22,22.454545454545453
2023-08-18,Night hour departures,1,18.0
2023-08-18,Regular departures,72,24.541666666666668
2023-08-18,Shoulder hour flights,21,23.476190476190474
2023-08-19,Regular departures,83,20.012048192771083
2023-08-19,Shoulder hour flights,15,11.866666666666667
2023-08-20,Regular departures,90,16.4
2023-08-20,Shoulder hour flights,10,18.6
2023-08-21,Regular departures,84,18.19047619047619
2023-08-21,Shoulder hour flights,24,18.5
2023-08-22,Regular departures,93,18.236559139784948
2023-08-22,Shoulder hour flights,17,15.294117647058824
2023-08-23,Regular departures,95,18.96842105263158
2023-08-23,Shoulder hour flights,21,16.238095238095237
2023-08-24,Regular departures,62,21.403225806451612
2023-08-24,Shoulder hour flights,22,19.681818181818183
2023-08-25,Night hour departures,1,11.0
2023-08-25,Regular departures,72,22.34722222222222
2023-08-25,Shoulder hour flights,20,14.6
2023-08-26,Regular departures,66,24.606060606060606
2023-08-26,Shoulder hour flights,21,24.19047619047619
2023-08-27,Regular departures,62,26.451612903225808
2023-08-27,Shoulder hour flights,19,20.31578947368421
2023-08-28,Regular departures,49,16.142857142857142
2023-08-28,Shoulder hour flights,22,19.90909090909091
2023-08-29,Regular departures,52,17.75
2023-08-29,Shoulder hour flights,4,12.0
2023-08-30,Regular departures,86,24.5
2023-08-30,Shoulder hour flights,24,22.041666666666668
2023-08-31,Regular departures,94,23.76595744680851
