Airline,Departure Airport,Scheduled Departure,Actual Departure,Arrival Airport,Scheduled Arrival,Actual Arrival,count
Jet2,Lanzarote,2024-04-06T18:45:00+00:00,2024-04-06T20:20:00+00:00,Bristol,2024-04-06T22:40:00+00:00,2024-04-06T23:20:00+00:00,1
VistaJet,Ciampino,2024-04-06T15:00:00+00:00,2024-04-06T16:08:00+00:00,Bristol,2024-04-06T16:21:00+00:00,,1
TUIfly,Antalya,2024-04-06T13:15:00+00:00,2024-04-06T13:44:00+00:00,Bristol,2024-04-06T15:50:00+00:00,2024-04-06T16:12:00+00:00,1
easyJet,Son Sant Joan Airport,2024-04-06T16:55:00+00:00,2024-04-06T18:36:00+00:00,Bristol,2024-04-06T18:25:00+00:00,,1
easyJet,Capodichino,2024-04-06T21:50:00+00:00,2024-04-07T00:06:00+00:00,Bristol,2024-04-06T23:50:00+00:00,,1
easyJet,Luton Airport,2024-04-06T11:20:00+00:00,2024-04-06T11:58:00+00:00,Bristol,2024-04-06T12:06:00+00:00,2024-04-06T12:35:00+00:00,1
easyJet,Sharm el-Sheikh International Airport,2024-04-06T20:45:00+00:00,2024-04-06T20:55:00+00:00,Bristol,2024-04-07T01:40:00+00:00,2024-04-07T01:30:00+00:00,1
Ryanair Sun,Copernicus Airport,2024-04-06T15:00:00+00:00,2024-04-06T15:13:00+00:00,Bristol,2024-04-06T16:20:00+00:00,2024-04-06T16:21:00+00:00,1
Alitalia,Schiphol,2024-04-06T12:55:00+00:00,2024-04-06T13:10:00+00:00,Bristol,2024-04-06T13:10:00+00:00,2024-04-06T13:16:00+00:00,1
Delta Air Lines,Schiphol,2024-04-06T12:55:00+00:00,2024-04-06T13:10:00+00:00,Bristol,2024-04-06T13:10:00+00:00,2024-04-06T13:16:00+00:00,1
Kenya Airways,Schiphol,2024-04-06T12:55:00+00:00,2024-04-06T13:10:00+00:00,Bristol,2024-04-06T13:10:00+00:00,2024-04-06T13:16:00+00:00,1
Virgin Atlantic,Schiphol,2024-04-06T12:55:00+00:00,2024-04-06T13:10:00+00:00,Bristol,2024-04-06T13:10:00+00:00,2024-04-06T13:16:00+00:00,1
Jet2,Chambery,2024-04-06T13:15:00+00:00,2024-04-06T14:09:00+00:00,Bristol,2024-04-06T14:00:00+00:00,2024-04-06T14:34:00+00:00,1
Ryanair,Beziers Vias,2024-04-06T10:50:00+00:00,2024-04-06T11:12:00+00:00,Bristol,2024-04-06T11:50:00+00:00,2024-04-06T11:52:00+00:00,1
easyJet,Grenoble-isere Airport (St Geoirs),2024-04-06T10:35:00+00:00,,Bristol,2024-04-06T11:25:00+00:00,,1
TUIfly,Chambery,2024-04-06T10:05:00+00:00,2024-04-06T10:26:00+00:00,Bristol,2024-04-06T11:10:00+00:00,2024-04-06T10:54:00+00:00,1
NetJets Europe,Sion,2024-04-06T10:30:00+00:00,2024-04-06T10:38:00+00:00,Bristol,2024-04-06T11:03:00+00:00,2024-04-06T11:06:00+00:00,1
Ryanair,Copernicus Airport,2024-04-06T15:00:00+00:00,,Bristol,2024-04-06T16:20:00+00:00,,1
Ryanair,Lawica,2024-04-06T15:50:00+00:00,2024-04-06T16:54:00+00:00,Bristol,2024-04-06T17:10:00+00:00,,1
Unicair,Bergamo - Orio al Serio,2024-04-06T12:05:00+00:00,2024-04-06T11:43:00+00:00,Bristol,2024-04-06T13:01:00+00:00,2024-04-06T12:25:00+00:00,1
easyJet,Aldergrove International Airport,2024-04-06T14:15:00+00:00,,Bristol,2024-04-06T15:25:00+00:00,,1
easyJet,Madeira,2024-04-06T10:40:00+00:00,2024-04-06T11:40:00+00:00,Bristol,2024-04-06T14:10:00+00:00,2024-04-06T14:19:00+00:00,1
easyJet,Faro,2024-04-06T15:45:00+00:00,2024-04-06T18:09:00+00:00,Bristol,2024-04-06T18:20:00+00:00,,1
easyJet,Pablo Ruiz Picasso,2024-04-06T16:45:00+00:00,2024-04-06T18:57:00+00:00,Bristol,2024-04-06T18:30:00+00:00,,1
Sierra Pacific Airlines,Jersey,2024-04-06T10:00:00+00:00,,Bristol,2024-04-06T11:00:00+00:00,,1
Ryanair,Son Sant Joan Airport,2024-04-06T16:35:00+00:00,2024-04-06T17:24:00+00:00,Bristol,2024-04-06T18:05:00+00:00,2024-04-06T18:22:00+00:00,1
Ryanair,Alicante El Altet,2024-04-06T13:25:00+00:00,2024-04-06T15:08:00+00:00,Bristol,2024-04-06T15:00:00+00:00,,1
easyJet,Geneve-cointrin,2024-04-06T14:10:00+00:00,,Bristol,2024-04-06T14:55:00+00:00,,1
easyJet,Sur Reina Sofia,2024-04-06T11:05:00+00:00,2024-04-06T12:18:00+00:00,Bristol,2024-04-06T15:10:00+00:00,2024-04-06T15:27:00+00:00,1
Kenya Airways,Schiphol,2024-04-06T16:40:00+00:00,2024-04-06T18:28:00+00:00,Bristol,2024-04-06T16:55:00+00:00,,1
easyJet,Orly,2024-04-06T19:00:00+00:00,2024-04-06T19:11:00+00:00,Bristol,2024-04-06T19:20:00+00:00,2024-04-06T19:24:00+00:00,1
easyJet,Geneve-cointrin,2024-04-06T09:40:00+00:00,2024-04-06T09:58:00+00:00,Bristol,2024-04-06T10:25:00+00:00,2024-04-06T10:18:00+00:00,1
easyJet,Marco Polo,2024-04-06T10:55:00+00:00,2024-04-06T11:26:00+00:00,Bristol,2024-04-06T12:15:00+00:00,2024-04-06T12:21:00+00:00,1
easyJet,Schiphol,2024-04-06T19:00:00+00:00,2024-04-06T19:21:00+00:00,Bristol,2024-04-06T19:20:00+00:00,,1
KLM,Schiphol,2024-04-06T16:40:00+00:00,2024-04-06T18:28:00+00:00,Bristol,2024-04-06T16:55:00+00:00,,1
easyJet,Diagoras,2024-04-06T22:15:00+00:00,2024-04-07T00:04:00+00:00,Bristol,2024-04-07T00:40:00+00:00,,1
Jet2,Sur Reina Sofia,2024-04-06T18:50:00+00:00,2024-04-06T19:37:00+00:00,Bristol,2024-04-06T23:00:00+00:00,2024-04-06T22:58:00+00:00,1
TUIfly,Fuerteventura,2024-04-06T22:05:00+00:00,2024-04-06T23:07:00+00:00,Bristol,2024-04-07T01:55:00+00:00,2024-04-07T02:18:00+00:00,1
Jet2,Antalya,2024-04-06T20:20:00+00:00,2024-04-06T21:06:00+00:00,Bristol,2024-04-06T23:05:00+00:00,2024-04-06T23:26:00+00:00,1
Jet2,Alicante El Altet,2024-04-06T11:10:00+00:00,2024-04-06T11:49:00+00:00,Bristol,2024-04-06T12:50:00+00:00,2024-04-06T12:57:00+00:00,1
Jet2,Son Sant Joan Airport,2024-04-06T19:10:00+00:00,2024-04-06T20:21:00+00:00,Bristol,2024-04-06T20:40:00+00:00,,1
easyJet,Paphos International Airport,2024-04-06T22:00:00+00:00,2024-04-06T22:24:00+00:00,Bristol,2024-04-07T01:05:00+00:00,2024-04-07T01:09:00+00:00,1
Jet2,Geneve-cointrin,2024-04-06T12:05:00+00:00,2024-04-06T12:36:00+00:00,Bristol,2024-04-06T13:00:00+00:00,2024-04-06T13:00:00+00:00,1
Enter Air,Tarbes Ossun Lourdes,2024-04-06T17:00:00+00:00,2024-04-06T18:04:00+00:00,Bristol,2024-04-06T17:36:00+00:00,,1
Ryanair,Gran Canaria,2024-04-06T20:35:00+00:00,2024-04-06T23:37:00+00:00,Bristol,2024-04-07T00:35:00+00:00,,1
Jet2,Innsbruck-kranebitten,2024-04-06T12:05:00+00:00,2024-04-06T12:13:00+00:00,Bristol,2024-04-06T13:10:00+00:00,2024-04-06T13:12:00+00:00,1
