flight_type,flight_number,flight_icao,airline_name,airline_iata,flight_status,flight_date,dep_airport,dep_iata,dep_icao,dep_terminal,dep_gate,dep_scheduled,dep_estimated,dep_actual,dep_delay,arr_airport,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_scheduled,arr_estimated,arr_actual,arr_delay,aircraft_registration,aircraft_iata,is_codeshare,codeshare_airline,codeshare_flight
Departure,U22933,EZY2933,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T11:15:00+00:00,2025-07-24T11:15:00+00:00,,6,Berlin Brandenburg Airport,BER,EDDB,1,X6,A2,2025-07-24T14:15:00+00:00,,,,,,No,,
Departure,FR505,RYR505,Ryanair,FR,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T11:35:00+00:00,2025-07-24T11:35:00+00:00,,15,Dublin International,DUB,EIDW,1,,,2025-07-24T12:40:00+00:00,,,,,,No,,
Departure,AZ3783,AZA3783,Alitalia,AZ,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:50:00+00:00,2025-07-24T13:50:00+00:00,,15,Schiphol,AMS,EHAM,,D22,,2025-07-24T16:05:00+00:00,,,,,,Yes,eastern airways,t31080
Departure,KQ1054,KQA1054,Kenya Airways,KQ,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:50:00+00:00,2025-07-24T13:50:00+00:00,,15,Schiphol,AMS,EHAM,,D22,,2025-07-24T16:05:00+00:00,,,,,,Yes,eastern airways,t31080
Departure,VS6951,VIR6951,Virgin Atlantic,VS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:50:00+00:00,2025-07-24T13:50:00+00:00,,15,Schiphol,AMS,EHAM,,D22,,2025-07-24T16:05:00+00:00,,,,,,Yes,eastern airways,t31080
Departure,T31080,EZE1080,Eastern Airways,T3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:50:00+00:00,2025-07-24T13:50:00+00:00,,15,Schiphol,AMS,EHAM,,D22,,2025-07-24T16:05:00+00:00,,,,,,No,,
Departure,U22903,EZY2903,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:50:00+00:00,2025-07-24T13:50:00+00:00,,,Larnaca,LCA,LCLK,,,,2025-07-24T20:30:00+00:00,,,,,,No,,
Departure,FR4121,RYR4121,Ryanair,FR,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:55:00+00:00,2025-07-24T13:55:00+00:00,,15,Pablo Ruiz Picasso,AGP,LEMG,,,,2025-07-24T17:35:00+00:00,,,,,,No,,
Departure,U22861,EZY2861,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:55:00+00:00,2025-07-24T13:55:00+00:00,,,Dalaman,DLM,LTBS,,,,2025-07-24T20:05:00+00:00,,,,,,No,,
Departure,LS1817,EXS1817,Jet2,LS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:25:00+00:00,2025-07-24T13:25:00+00:00,,15,Dalaman,DLM,LTBS,I,,,2025-07-24T19:30:00+00:00,,,,,,No,,
Departure,U22733,EZY2733,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:30:00+00:00,2025-07-24T13:30:00+00:00,,,Lanzarote,ACE,GCRR,1,,2,2025-07-24T17:35:00+00:00,,,,,,No,,
Departure,U22885,EZY2885,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:35:00+00:00,2025-07-24T13:35:00+00:00,,,Geneve-cointrin,GVA,LSGG,1,,7,2025-07-24T16:15:00+00:00,,,,,,No,,
Departure,U22867,EZY2867,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:45:00+00:00,2025-07-24T13:45:00+00:00,,,Lisbon Portela,LIS,LPPT,1,,,2025-07-24T16:20:00+00:00,,,,,,No,,
Departure,FR749,RYR749,Ryanair,FR,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T13:50:00+00:00,2025-07-24T13:50:00+00:00,,15,Prague Vaclav Havel Airport,PRG,LKPR,1,,14,2025-07-24T16:50:00+00:00,,,,,,No,,
Departure,X36468,TUI6468,TUIfly,X3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T15:55:00+00:00,2025-07-24T15:55:00+00:00,,15,Gran Canaria,LPA,GCLP,,,43,2025-07-24T20:00:00+00:00,,,,,,No,,
Departure,U27075,EZY7075,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T16:05:00+00:00,2025-07-24T16:05:00+00:00,,9,Schiphol,AMS,EHAM,,,,2025-07-24T18:25:00+00:00,,,,,,No,,
Departure,U22835,EZY2835,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T16:15:00+00:00,2025-07-24T16:15:00+00:00,,45,Costa Smeralda,OLB,LIEO,1,,,2025-07-24T19:55:00+00:00,,,,,,No,,
Departure,U22853,EZY2853,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T16:25:00+00:00,2025-07-24T16:25:00+00:00,,12,Milas,BJV,LTFE,1,,,2025-07-24T22:30:00+00:00,,,,,,No,,
Departure,U22929,EZY2929,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T16:30:00+00:00,2025-07-24T16:30:00+00:00,,22,Zine El Abidine Ben Ali International Airport,NBE,DTNH,,,,2025-07-24T19:35:00+00:00,,,,,,No,,
Departure,BA8867,BAW8867,British Airways,BA,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T16:30:00+00:00,2025-07-24T16:30:00+00:00,,,Cork,ORK,EICK,,3,1,2025-07-24T18:00:00+00:00,,,,,,Yes,aer lingus,ei3843
Departure,EI3843,EIN3843,Aer Lingus,EI,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T16:30:00+00:00,2025-07-24T16:30:00+00:00,,,Cork,ORK,EICK,,3,1,2025-07-24T18:00:00+00:00,,,,,,No,,
Departure,LS3415,EXS3415,Jet2,LS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T16:40:00+00:00,2025-07-24T16:40:00+00:00,,15,Agadir Almassira,AGA,GMAD,,,,2025-07-24T20:25:00+00:00,,,,,,No,,
Departure,U22803,EZY2803,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T17:05:00+00:00,2025-07-24T17:05:00+00:00,,8,"Athens International Airport ""Eleftherios Venizelos""",ATH,LGAV,,,01,2025-07-24T22:45:00+00:00,,,,,,No,,
Departure,U22847,EZY2847,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T17:15:00+00:00,2025-07-24T17:15:00+00:00,,,Punta Raisi,PMO,LICJ,,,,2025-07-24T21:10:00+00:00,,,,,,No,,
Departure,U22721,EZY2721,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T17:35:00+00:00,2025-07-24T17:35:00+00:00,,36,Alicante El Altet,ALC,LEAL,,,9B,2025-07-24T21:00:00+00:00,,,,,,No,,
Departure,VS6952,VIR6952,Virgin Atlantic,VS,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T17:35:00+00:00,2025-07-24T17:35:00+00:00,,15,Schiphol,AMS,EHAM,,D24,,2025-07-24T19:50:00+00:00,,,,,,Yes,eastern airways,t31082
Departure,T31082,EZE1082,Eastern Airways,T3,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T17:35:00+00:00,2025-07-24T17:35:00+00:00,,15,Schiphol,AMS,EHAM,,D24,,2025-07-24T19:50:00+00:00,,,,,,No,,
Departure,U22875,EZY2875,easyJet,U2,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T18:05:00+00:00,2025-07-24T18:05:00+00:00,,,Francisco Sá Carneiro,OPO,LPPR,,,,2025-07-24T20:15:00+00:00,,,,,,No,,
Departure,SI4495,BCI4495,Blue Islands,SI,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T19:55:00+00:00,2025-07-24T19:55:00+00:00,,,Jersey,JER,EGJJ,,,,2025-07-24T20:55:00+00:00,,,,,,No,,
Departure,SI495,BCI495,Blue Islands,SI,scheduled,2025-07-24,Bristol,BRS,EGGD,,,2025-07-24T19:55:00+00:00,2025-07-24T19:55:00+00:00,,9,Jersey,JER,EGJJ,,,,2025-07-24T20:54:00+00:00,,,,,,No,,
