flight_number,airline_name,flight_status,scheduled_arrival,estimated_arrival,actual_arrival,arrival_date,arrival_time,arrival_delay,flight_type
qr9659,qatar airways,landed,2024-03-20t18:35:00.000,2024-03-20t18:22:00.000,2024-03-20 18:27:00,2024-03-20,18:27:00,0,Regular departures
ei3286,aer lingus,landed,2024-03-20t18:35:00.000,2024-03-20t18:22:00.000,2024-03-20 18:27:00,2024-03-20,18:27:00,0,Regular departures
ls1810,jet2,landed,2024-03-20t18:50:00.000,2024-03-20t18:51:00.000,2024-03-20 18:52:00,2024-03-20,18:52:00,2,Regular departures
ls1828,jet2,landed,2024-03-20t18:50:00.000,2024-03-20t18:36:00.000,2024-03-20 18:37:00,2024-03-20,18:37:00,0,Regular departures
,bae systems marine,landed,2024-03-20t08:14:00.000,2024-03-20t08:23:00.000,2024-03-20 08:26:00,2024-03-20,08:26:00,12,Regular departures
u24057,easyjet,landed,2024-03-20t18:50:00.000,2024-03-20t18:53:00.000,2024-03-20 18:45:00,2024-03-20,18:45:00,0,Regular departures
ba8866,british airways,landed,2024-03-20t19:10:00.000,2024-03-20t18:48:00.000,2024-03-20 18:50:00,2024-03-20,18:50:00,0,Regular departures
ei3842,aer lingus,landed,2024-03-20t19:10:00.000,2024-03-20t18:48:00.000,2024-03-20 18:50:00,2024-03-20,18:50:00,0,Regular departures
,centreline,landed,2024-03-20t11:34:00.000,2024-03-20t11:41:00.000,2024-03-20 11:40:00,2024-03-20,11:40:00,7,Regular departures
u2232,easyjet,landed,2024-03-20t19:15:00.000,2024-03-20t18:54:00.000,2024-03-20 18:54:00,2024-03-20,18:54:00,0,Regular departures
ba7819,british airways,landed,2024-03-20t19:25:00.000,2024-03-20t18:58:00.000,2024-03-20 18:58:00,2024-03-20,18:58:00,0,Regular departures
si7045,sierra pacific airlines,landed,2024-03-20t19:25:00.000,2024-03-20t18:58:00.000,2024-03-20 18:58:00,2024-03-20,18:58:00,0,Regular departures
lm45,loganair,landed,2024-03-20t19:25:00.000,2024-03-20t18:58:00.000,2024-03-20 18:58:00,2024-03-20,18:58:00,0,Regular departures
u22838,easyjet,landed,2024-03-20t20:00:00.000,2024-03-20t19:39:00.000,2024-03-20 19:33:00,2024-03-20,19:33:00,0,Regular departures
u22912,easyjet,landed,2024-03-20t20:15:00.000,2024-03-20t20:34:00.000,2024-03-20 20:33:00,2024-03-20,20:33:00,18,Regular departures
u22946,easyjet,landed,2024-03-20t20:25:00.000,2024-03-20t19:54:00.000,2024-03-20 19:54:00,2024-03-20,19:54:00,0,Regular departures
u22924,easyjet,landed,2024-03-20t21:20:00.000,2024-03-20t21:11:00.000,2024-03-20 21:12:00,2024-03-20,21:12:00,0,Regular departures
u2204,easyjet,landed,2024-03-20t21:35:00.000,2024-03-20t21:24:00.000,2024-03-20 21:21:00,2024-03-20,21:21:00,0,Regular departures
u22776,easyjet,landed,2024-03-20t21:50:00.000,2024-03-20t21:41:00.000,2024-03-20 21:42:00,2024-03-20,21:42:00,0,Regular departures
u22902,easyjet,landed,2024-03-20t22:00:00.000,2024-03-20t21:32:00.000,2024-03-20 21:32:00,2024-03-20,21:32:00,0,Regular departures
u22734,easyjet,landed,2024-03-20t22:15:00.000,2024-03-20t22:44:00.000,2024-03-20 22:45:00,2024-03-20,22:45:00,30,Regular departures
u22874,easyjet,landed,2024-03-20t22:30:00.000,2024-03-20t22:14:00.000,2024-03-20 22:15:00,2024-03-20,22:15:00,0,Regular departures
u22958,easyjet,landed,2024-03-20t22:30:00.000,2024-03-20t22:16:00.000,2024-03-20 22:20:00,2024-03-20,22:20:00,0,Regular departures
u22732,easyjet,landed,2024-03-20t22:35:00.000,2024-03-20t22:49:00.000,2024-03-20 22:54:00,2024-03-20,22:54:00,20,Regular departures
fr4130,ryanair,landed,2024-03-20t22:50:00.000,2024-03-20t22:46:00.000,2024-03-20 22:37:00,2024-03-20,22:37:00,0,Regular departures
ey5816,etihad airways,landed,2024-03-20t22:55:00.000,2024-03-20t22:50:00.000,2024-03-20 22:50:00,2024-03-20,22:50:00,0,Regular departures
kq1057,kenya airways,landed,2024-03-20t22:55:00.000,2024-03-20t22:50:00.000,2024-03-20 22:50:00,2024-03-20,22:50:00,0,Regular departures
vs7014,virgin atlantic,landed,2024-03-20t22:55:00.000,2024-03-20t22:50:00.000,2024-03-20 22:50:00,2024-03-20,22:50:00,0,Regular departures
kl1057,klm,landed,2024-03-20t22:55:00.000,2024-03-20t22:50:00.000,2024-03-20 22:50:00,2024-03-20,22:50:00,0,Regular departures
x3227,tuifly,landed,2024-03-20t23:00:00.000,2024-03-20t22:57:00.000,2024-03-20 22:58:00,2024-03-20,22:58:00,0,Regular departures
u22724,easyjet,landed,2024-03-20t23:20:00.000,2024-03-20t23:04:00.000,2024-03-20 23:05:00,2024-03-20,23:05:00,0,Shoulder hour flights
u22878,easyjet,landed,2024-03-20t23:20:00.000,2024-03-20t23:12:00.000,2024-03-20 23:10:00,2024-03-20,23:10:00,0,Shoulder hour flights
fr4756,ryanair,landed,2024-03-20t23:25:00.000,2024-03-20t23:16:00.000,2024-03-20 23:14:00,2024-03-20,23:14:00,0,Shoulder hour flights
u22716,easyjet,landed,2024-03-20t23:25:00.000,2024-03-20t23:19:00.000,2024-03-20 23:22:00,2024-03-20,23:22:00,0,Shoulder hour flights
,bae systems marine,landed,2024-03-20t16:58:00.000,2024-03-20t17:04:00.000,2024-03-20 17:05:00,2024-03-20,17:05:00,7,Regular departures
