type,status,departure.iataCode,departure.icaoCode,departure.actualTime,arrival.iataCode,arrival.icaoCode,arrival.actualTime
arrival,landed,dub,eidw,2023-12-29t13:10:00.000,brs,eggd,2023-12-29t13:52:00.000
arrival,landed,vce,lipz,2023-12-29t13:09:00.000,brs,eggd,2023-12-29t14:17:00.000
arrival,landed,nbe,dtnh,2023-12-29t12:19:00.000,brs,eggd,2023-12-29t14:13:00.000
arrival,landed,ncl,egnt,2023-12-29t14:06:00.000,brs,eggd,2023-12-29t14:55:00.000
arrival,landed,cdg,lfpg,2023-12-29t14:55:00.000,brs,eggd,2023-12-29t14:51:00.000
arrival,landed,bsl,lfsb,2023-12-29t14:08:00.000,brs,eggd,2023-12-29t14:42:00.000
arrival,landed,gva,lsgg,2023-12-29t15:02:00.000,brs,eggd,2023-12-29t15:34:00.000
arrival,landed,ace,gcrr,2023-12-29t11:21:00.000,brs,eggd,2023-12-29t14:45:00.000
arrival,landed,dub,eidw,2023-12-29t14:14:00.000,brs,eggd,2023-12-29t15:08:00.000
arrival,landed,bcn,lebl,2023-12-29t14:43:00.000,brs,eggd,2023-12-29t15:37:00.000
arrival,landed,ams,eham,2023-12-29t15:49:00.000,brs,eggd,2023-12-29t15:54:00.000
arrival,landed,gla,egpf,2023-12-29t14:49:00.000,brs,eggd,2023-12-29t15:45:00.000
arrival,landed,edi,egph,2023-12-29t15:29:00.000,brs,eggd,2023-12-29t16:26:00.000
arrival,landed,dub,eidw,2023-12-29t15:09:00.000,brs,eggd,2023-12-29t15:50:00.000
arrival,landed,lys,lfll,2023-12-29t15:40:00.000,brs,eggd,2023-12-29t16:12:00.000
arrival,landed,prg,lkpr,2023-12-29t15:36:00.000,brs,eggd,2023-12-29t16:40:00.000
arrival,landed,ams,eham,2023-12-29t16:33:00.000,brs,eggd,2023-12-29t16:32:00.000
arrival,landed,gla,egpf,2023-12-29t15:53:00.000,brs,eggd,2023-12-29t16:48:00.000
arrival,landed,vce,lipz,2023-12-29t16:12:00.000,brs,eggd,2023-12-29t17:23:00.000
arrival,landed,edi,egph,2023-12-29t16:26:00.000,brs,eggd,2023-12-29t17:20:00.000
arrival,landed,gva,lsgg,2023-12-29t17:02:00.000,brs,eggd,2023-12-29t17:36:00.000
arrival,landed,tfs,gcts,2023-12-29t13:52:00.000,brs,eggd,2023-12-29t17:31:00.000
arrival,landed,psa,lirp,2023-12-29t16:52:00.000,brs,eggd,2023-12-29t17:58:00.000
arrival,landed,bfs,egaa,2023-12-29t17:57:00.000,brs,eggd,2023-12-29t18:43:00.000
arrival,landed,dub,eidw,2023-12-29t17:38:00.000,brs,eggd,2023-12-29t18:31:00.000
arrival,landed,cdg,lfpg,2023-12-29t19:03:00.000,brs,eggd,2023-12-29t19:01:00.000
arrival,landed,fco,lirf,2023-12-29t17:31:00.000,brs,eggd,2023-12-29t18:57:00.000
arrival,landed,ace,gcrr,2023-12-29t15:34:00.000,brs,eggd,2023-12-29t19:05:00.000
arrival,landed,ork,eick,2023-12-29t18:17:00.000,brs,eggd,2023-12-29t19:09:00.000
arrival,landed,krk,epkk,2023-12-29t17:34:00.000,brs,eggd,2023-12-29t19:17:00.000
arrival,landed,ayt,ltai,2023-12-29t18:01:00.000,brs,eggd,2023-12-29t19:28:00.000
arrival,landed,lis,lppt,2023-12-29t17:59:00.000,brs,eggd,2023-12-29t20:05:00.000
arrival,landed,opo,lppr,2023-12-29t18:52:00.000,brs,eggd,2023-12-29t20:42:00.000
arrival,landed,tfs,gcts,2023-12-29t17:23:00.000,brs,eggd,2023-12-29t21:06:00.000
arrival,landed,wro,epwr,2023-12-29t20:18:00.000,brs,eggd,2023-12-29t21:36:00.000
arrival,landed,gva,lsgg,2023-12-29t20:53:00.000,brs,eggd,2023-12-29t21:24:00.000
arrival,landed,kef,bikf,2023-12-29t19:09:00.000,brs,eggd,2023-12-29t21:44:00.000
arrival,landed,ams,eham,2023-12-29t22:03:00.000,brs,eggd,2023-12-29t22:02:00.000
arrival,landed,cdg,lfpg,2023-12-29t21:48:00.000,brs,eggd,2023-12-29t21:48:00.000
arrival,landed,dub,eidw,2023-12-29t21:01:00.000,brs,eggd,2023-12-29t21:41:00.000
arrival,landed,ncl,egnt,2023-12-29t21:27:00.000,brs,eggd,2023-12-29t22:13:00.000
arrival,landed,mad,lemd,2023-12-29t21:46:00.000,brs,eggd,2023-12-29t22:34:00.000
arrival,landed,kun,eyka,2023-12-29t21:13:00.000,brs,eggd,2023-12-29t22:09:00.000
arrival,landed,ory,lfpo,2023-12-29t22:44:00.000,brs,eggd,2023-12-29t22:45:00.000
arrival,landed,fao,lpfr,2023-12-29t20:50:00.000,brs,eggd,2023-12-29t23:11:00.000
arrival,landed,ams,eham,2023-12-29t23:25:00.000,brs,eggd,2023-12-29t23:24:00.000
arrival,landed,hrg,hegn,2023-12-29t19:21:00.000,brs,eggd,2023-12-29t22:52:00.000
arrival,landed,alc,leal,2023-12-29t21:43:00.000,brs,eggd,2023-12-29t22:57:00.000
arrival,landed,tfs,gcts,2023-12-29t19:23:00.000,brs,eggd,2023-12-29t23:03:00.000
arrival,landed,agp,lemg,2023-12-29t21:45:00.000,brs,eggd,2023-12-29t23:07:00.000
arrival,landed,tfs,gcts,2023-12-29t19:38:00.000,brs,eggd,2023-12-29t23:27:00.000
arrival,landed,ace,gcrr,2023-12-29t20:24:00.000,brs,eggd,2023-12-29t23:53:00.000
arrival,landed,jer,egjj,2023-12-29t18:25:00.000,brs,eggd,2023-12-29t19:14:00.000
arrival,landed,lgw,egkk,2023-12-29t19:27:00.000,brs,eggd,2023-12-29t19:56:00.000
arrival,landed,tfs,gcts,2023-12-29t20:02:00.000,brs,eggd,2023-12-29t23:40:00.000
arrival,landed,cgn,eddk,2023-12-30t06:08:00.000,brs,eggd,2023-12-30t06:24:00.000
arrival,landed,dub,eidw,2023-12-30t06:27:00.000,brs,eggd,2023-12-30t07:22:00.000
arrival,landed,dub,eidw,2023-12-30t06:50:00.000,brs,eggd,2023-12-30t07:32:00.000
arrival,landed,ams,eham,2023-12-30t08:44:00.000,brs,eggd,2023-12-30t08:42:00.000
arrival,landed,mxp,limc,2023-12-30t07:48:00.000,brs,eggd,2023-12-30t08:32:00.000
arrival,landed,edi,egph,2023-12-30t08:54:00.000,brs,eggd,2023-12-30t09:53:00.000
arrival,landed,bfs,egaa,2023-12-30t09:16:00.000,brs,eggd,2023-12-30t10:07:00.000
arrival,landed,gva,lsgg,2023-12-30t10:20:00.000,brs,eggd,2023-12-30t10:47:00.000
arrival,landed,ams,eham,2023-12-30t10:11:00.000,brs,eggd,2023-12-30t10:11:00.000
arrival,landed,bhd,egac,2023-12-30t10:00:00.000,brs,eggd,2023-12-30t10:53:00.000
arrival,landed,cdg,lfpg,2023-12-30t11:02:00.000,brs,eggd,2023-12-30t10:59:00.000
arrival,landed,opo,lppr,2023-12-30t08:51:00.000,brs,eggd,2023-12-30t10:31:00.000
arrival,landed,trn,limf,2023-12-30t10:55:00.000,brs,eggd,2023-12-30t11:37:00.000
arrival,landed,gva,lsgg,2023-12-30t10:38:00.000,brs,eggd,2023-12-30t11:05:00.000
arrival,landed,nce,lfmn,2023-12-30t10:53:00.000,brs,eggd,2023-12-30t11:43:00.000
arrival,landed,trn,limf,2023-12-30t11:27:00.000,brs,eggd,2023-12-30t12:10:00.000
arrival,landed,gnb,lfls,2023-12-30t11:45:00.000,brs,eggd,2023-12-30t12:14:00.000
arrival,landed,bcn,lebl,2023-12-30t11:05:00.000,brs,eggd,2023-12-30t11:59:00.000
arrival,landed,bzg,epby,2023-12-30t11:14:00.000,brs,eggd,2023-12-30t12:30:00.000
arrival,landed,agp,lemg,2023-12-30t10:38:00.000,brs,eggd,2023-12-30t11:56:00.000
arrival,landed,szg,lows,2023-12-30t11:54:00.000,brs,eggd,2023-12-30t12:55:00.000
arrival,landed,cph,ekch,2023-12-30t11:43:00.000,brs,eggd,2023-12-30t12:37:00.000
arrival,landed,alc,leal,2023-12-30t11:14:00.000,brs,eggd,2023-12-30t12:21:00.000
arrival,landed,zrh,lszh,2023-12-30t12:36:00.000,brs,eggd,2023-12-30t13:13:00.000
arrival,landed,fao,lpfr,2023-12-30t10:09:00.000,brs,eggd,2023-12-30t12:28:00.000
arrival,landed,dub,eidw,2023-12-30t12:21:00.000,brs,eggd,2023-12-30t13:26:00.000
arrival,landed,ams,eham,2023-12-30t13:31:00.000,brs,eggd,2023-12-30t13:30:00.000
arrival,landed,gva,lsgg,2023-12-30t13:18:00.000,brs,eggd,2023-12-30t13:43:00.000
